taxa	variable	effectsize	se	stat	pvalue	qvalue.withinformula	qvalue	formula	method	n	freq
IV-B	Environment.3yearsinbelgium	-0.45732431174691496	0.22082638201913088	-2.070967732955456	0.038361811563079225	0.2685326809415546	0.3587593785936457	~Environment.3yearsinbelgium + Technical.run_20201106_isala_cross_5 + Technical.run_20201009_isala_cross_1 + Technical.run_20201204_isala_cross_8 + Technical.run_20201030_isala_cross_4 + General.Age + Technical.run_20201016_isala_cross_2 + Technical.run_20201023_isala_cross_3 + Technical.run_20201120_isala_cross_6 + Technical.run_20201211_isala_cross_9 + Health.Antibiotic.3months + Technical.run_20210119_isala_cross_7 + Sexual.Intercourse.24hours + Technical.libsize	group	2715	FALSE:129, TRUE:2586
bridge	Environment.3yearsinbelgium	-0.21918758773531077	0.2627640719767247	-0.8341611776922309	0.4041901646333738	0.4983012438655778	0.8462503987459106	~Environment.3yearsinbelgium + Technical.run_20201106_isala_cross_5 + Technical.run_20201009_isala_cross_1 + Technical.run_20201204_isala_cross_8 + Technical.run_20201030_isala_cross_4 + General.Age + Technical.run_20201016_isala_cross_2 + Technical.run_20201023_isala_cross_3 + Technical.run_20201120_isala_cross_6 + Technical.run_20201211_isala_cross_9 + Health.Antibiotic.3months + Technical.run_20210119_isala_cross_7 + Sexual.Intercourse.24hours + Technical.libsize	group	2715	FALSE:129, TRUE:2586
III-A	Environment.3yearsinbelgium	0.13624208167653964	0.23250939973177834	0.5859637581693807	0.557899869795911	0.557899869795911	0.9192218284771951	~Environment.3yearsinbelgium + Technical.run_20201106_isala_cross_5 + Technical.run_20201009_isala_cross_1 + Technical.run_20201204_isala_cross_8 + Technical.run_20201030_isala_cross_4 + General.Age + Technical.run_20201016_isala_cross_2 + Technical.run_20201023_isala_cross_3 + Technical.run_20201120_isala_cross_6 + Technical.run_20201211_isala_cross_9 + Health.Antibiotic.3months + Technical.run_20210119_isala_cross_7 + Sexual.Intercourse.24hours + Technical.libsize	group	2715	FALSE:129, TRUE:2586
III-B	Environment.3yearsinbelgium	0.5548664303942801	0.5174091709070879	1.0723938839768234	0.28354315384456336	0.4983012438655778	0.734885889636041	~Environment.3yearsinbelgium + Technical.run_20201106_isala_cross_5 + Technical.run_20201009_isala_cross_1 + Technical.run_20201204_isala_cross_8 + Technical.run_20201030_isala_cross_4 + General.Age + Technical.run_20201016_isala_cross_2 + Technical.run_20201023_isala_cross_3 + Technical.run_20201120_isala_cross_6 + Technical.run_20201211_isala_cross_9 + Health.Antibiotic.3months + Technical.run_20210119_isala_cross_7 + Sexual.Intercourse.24hours + Technical.libsize	group	2715	FALSE:129, TRUE:2586
I-B	Environment.3yearsinbelgium	0.3157354462389552	0.3975828129433886	0.7941375631946959	0.42711535188478095	0.4983012438655778	0.8513002382334742	~Environment.3yearsinbelgium + Technical.run_20201106_isala_cross_5 + Technical.run_20201009_isala_cross_1 + Technical.run_20201204_isala_cross_8 + Technical.run_20201030_isala_cross_4 + General.Age + Technical.run_20201016_isala_cross_2 + Technical.run_20201023_isala_cross_3 + Technical.run_20201120_isala_cross_6 + Technical.run_20201211_isala_cross_9 + Health.Antibiotic.3months + Technical.run_20210119_isala_cross_7 + Sexual.Intercourse.24hours + Technical.libsize	group	2715	FALSE:129, TRUE:2586
I-A	Environment.3yearsinbelgium	0.20714914114552538	0.19955139351069576	1.0380741397048796	0.29923553990095064	0.4983012438655778	0.746882368710481	~Environment.3yearsinbelgium + Technical.run_20201106_isala_cross_5 + Technical.run_20201009_isala_cross_1 + Technical.run_20201204_isala_cross_8 + Technical.run_20201030_isala_cross_4 + General.Age + Technical.run_20201016_isala_cross_2 + Technical.run_20201023_isala_cross_3 + Technical.run_20201120_isala_cross_6 + Technical.run_20201211_isala_cross_9 + Health.Antibiotic.3months + Technical.run_20210119_isala_cross_7 + Sexual.Intercourse.24hours + Technical.libsize	group	2715	FALSE:129, TRUE:2586
V	Environment.3yearsinbelgium	-0.42818843912957916	0.3620085344155148	-1.182813106384124	0.23688322509368304	0.4983012438655778	0.7082574094789049	~Environment.3yearsinbelgium + Technical.run_20201106_isala_cross_5 + Technical.run_20201009_isala_cross_1 + Technical.run_20201204_isala_cross_8 + Technical.run_20201030_isala_cross_4 + General.Age + Technical.run_20201016_isala_cross_2 + Technical.run_20201023_isala_cross_3 + Technical.run_20201120_isala_cross_6 + Technical.run_20201211_isala_cross_9 + Health.Antibiotic.3months + Technical.run_20210119_isala_cross_7 + Sexual.Intercourse.24hours + Technical.libsize	group	2715	FALSE:129, TRUE:2586
IV-B	Environment.Born.csection	-0.10280598852312627	0.19013668547072918	-0.540695175518629	0.5887177043782942	0.8242047861296118	0.9198882123437052	~Environment.Born.csection + Technical.run_20201106_isala_cross_5 + Technical.run_20201009_isala_cross_1 + Technical.run_20201204_isala_cross_8 + Technical.run_20201030_isala_cross_4 + General.Age + Technical.run_20201016_isala_cross_2 + Technical.run_20201023_isala_cross_3 + Technical.run_20201120_isala_cross_6 + Technical.run_20201211_isala_cross_9 + Health.Antibiotic.3months + Technical.run_20210119_isala_cross_7 + Sexual.Intercourse.24hours + Technical.libsize	group	2715	FALSE:2441, TRUE:274
bridge	Environment.Born.csection	-0.11289703818141948	0.20520898879860408	-0.5501563983253128	0.5822121065015011	0.8242047861296118	0.9198882123437052	~Environment.Born.csection + Technical.run_20201106_isala_cross_5 + Technical.run_20201009_isala_cross_1 + Technical.run_20201204_isala_cross_8 + Technical.run_20201030_isala_cross_4 + General.Age + Technical.run_20201016_isala_cross_2 + Technical.run_20201023_isala_cross_3 + Technical.run_20201120_isala_cross_6 + Technical.run_20201211_isala_cross_9 + Health.Antibiotic.3months + Technical.run_20210119_isala_cross_7 + Sexual.Intercourse.24hours + Technical.libsize	group	2715	FALSE:2441, TRUE:274
III-A	Environment.Born.csection	0.16624613760605997	0.15494710349371207	1.072921880161551	0.28330616804049225	0.8242047861296118	0.734885889636041	~Environment.Born.csection + Technical.run_20201106_isala_cross_5 + Technical.run_20201009_isala_cross_1 + Technical.run_20201204_isala_cross_8 + Technical.run_20201030_isala_cross_4 + General.Age + Technical.run_20201016_isala_cross_2 + Technical.run_20201023_isala_cross_3 + Technical.run_20201120_isala_cross_6 + Technical.run_20201211_isala_cross_9 + Health.Antibiotic.3months + Technical.run_20210119_isala_cross_7 + Sexual.Intercourse.24hours + Technical.libsize	group	2715	FALSE:2441, TRUE:274
