	Actinotignum	GU303868_g	Arcanobacterium	Mobiluncus	Gemella	Alloscardovia	Staphylococcus	Aerococcus	Facklamia	Bifidobacterium	Enterococcus	Gardnerella	L. crispatus	L. gasseri	L. iners	L. jensenii	Limosilactobacillus	Streptococcus	Clostridium	Corynebacterium	Blautia	CP009312_g	Howardella	Moryella	JRNA_g	Peptococcus	Peptostreptococcus	Faecalibacterium	Fastidiosipila	JN713389_g	KQ959578_g	Brevibacterium	Dialister	Megasphaera	Negativicoccus	Veillonella	Anaerococcus	CYUO_g	Ezakiella	Fenollaria	Finegoldia	Helcococcus	KI259813_g	Murdochiella	Parvimonas	Peptoniphilus	Fusobacterium	Sneathia	Sutterella	FM873692_g	Neisseria	Campylobacter	Escherichia	Actinobacillus	Jonquetella	Ureaplasma	Nesterenkonia	Atopobium	KQ959671_g	Olsenella	Bacteroides	Actinomyces	Porphyromonas	Prevotella
Actinotignum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11975449752290623	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.10329791909270583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12794834596985694	0.0	0.0
GU303868_g	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.1127014255792646	0.0	-0.1597746112865865	0.0	0.0	0.0	0.12276118722363774	0.0	0.0	0.0	0.0	0.0	0.0	0.1077622272441413	0.0	0.0	0.0	0.0	0.0	-0.12531916849864078	0.0	0.0	0.0	-0.16557135120471977	0.0	0.0	0.0	0.0	-0.11854836690550352	0.0	0.10872393840093006	0.0	0.0	0.0	-0.10321372950377283	0.0	0.0	0.0	0.0	0.0	0.0	0.10912077206874471	0.0	0.0	-0.15537359811181312	0.0	0.0
Arcanobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.12058546156173311	0.0	-0.101752835244624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11023001429724974	0.0	-0.10896067409113046	0.0	0.0	0.0	-0.1282783879288555	0.0	0.0	0.0	-0.15331839348672344	0.0	0.0	0.0	0.0	-0.10392321353263648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.11447727889444693
Mobiluncus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10611672319492792	0.0	0.11624851518740101	0.0	0.0	0.0	0.0	0.11934297993930457	0.0	0.0	0.1086910493293055	0.0	-0.11690914524105114	0.0	0.0	0.10488953718823046	0.11451017186659193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10929360323108148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1569851350852144	0.0
Gemella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1779376840341772	-0.16009562113267398	0.0	0.0	0.20546986405660755	0.0	0.0	0.10393207761787372	0.0	0.0	0.16398750788853234	0.0	-0.16314312719524962	0.0	-0.20826911727370784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20539398643684054	0.0	0.0	0.14051367229123088	0.0	0.14501387500631352	0.0	-0.10851951294337449	-0.19430675684492102	-0.15626419040791134	-0.13826976682820274	0.0	0.0	0.0	0.20640137027487387	0.0	0.0	0.29609559199410984	0.0	0.0	0.14122719205619666	-0.19387997942856414	0.0	0.2017584582315108	0.0	0.0	0.0	0.19718137559682103	0.222272369958604	0.0	0.0	-0.1276701056672819	-0.12165439531440979	0.0
Alloscardovia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22999061678192328	0.0	-0.14287766679354785	0.0	0.10853874406357475	0.0	0.0	0.0	0.21300664783277995	0.0	0.0	0.0	0.0	0.2377195954320002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Staphylococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.16785111627212598	0.0	0.0	0.11618489044141378	-0.16717803706081857	0.13047411397048214	0.0	0.0	0.0	0.10922049061599307	0.22130615358924527	0.0	0.417439255434051	0.0	0.0	0.0	-0.14766638454272898	0.0	0.0	0.0	0.0	0.0	0.0	-0.21775978004993643	0.0	-0.14994644079363928	-0.2209728787647201	0.0	0.12224470115305323	0.1214370399436108	0.0	0.0	0.0	0.26133289042888014	0.0	0.0	0.0	-0.22581735156200078	0.0	0.0	-0.2243183778384139	0.0	0.0	0.0	0.0	0.0	0.13792250058883312	0.0	0.0	0.0	-0.25442846039445066	-0.19142529265946828	0.0	0.0	0.0	-0.14408570189242148	-0.12779277224203858
Aerococcus	0.0	0.0	0.0	0.0	0.1779376840341772	0.0	-0.16785111627212598	0.0	0.0	0.0	0.0	0.36709222154340454	-0.19736428093609382	0.0	0.1044700976538265	-0.1136701124139878	-0.16238868446383747	0.0	-0.10477297843953295	-0.18025483530101102	0.0	-0.1443529734698945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21758039360535109	0.0	0.16418664314034231	0.2578169371377195	0.0	0.0	0.0	0.0	0.0	0.0	-0.1478155591004408	0.0	0.0	0.0	0.19761288562781776	0.0	0.0	0.28638333421831585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3728079334718153	0.22258322089618965	-0.12660125398105282	0.0	0.0	0.0	0.16239923888997332
Facklamia	0.11975449752290623	0.0	0.0	0.0	-0.16009562113267398	0.0	0.0	0.0	0.0	0.0	0.0	-0.11230065507983947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26447752712105277	0.0	0.10093615684014287	0.0	0.0	0.0	0.0	-0.11461311671406944	0.0	0.15825814909582325	0.0	-0.1065087112327242	0.11012421011340678	0.0	-0.12831575169852621	0.0	0.0	0.14254753266566672	0.10440558698214047	0.18682522440396543	0.0	0.12137653634487469	0.15504180315517782	0.0	0.0	0.0	0.1307140751510268	0.0	-0.14086013850718454	0.0	0.0	0.0	0.1384111889881563	0.0	0.0	0.0	0.0	0.11282419559574029	-0.1049370080469632	-0.11754138834779529	0.0	0.0	0.107988591084902	0.0	0.0
Bifidobacterium	0.0	0.0	0.0	0.0	0.0	0.22999061678192328	0.0	0.0	0.0	0.0	0.0	-0.1055406838212246	0.0	0.1340193695452479	-0.1422285750261323	0.0	0.0	0.16623129333342027	0.0	0.0	0.0	0.0	0.219419940843189	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
