kingdom	phylum	class	order	family	genus	sequence	taxon_id
Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobrevibacter	t1
Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanosphaera	t2
Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	CP012850_g	Archaea Thaumarchaeota Nitrososphaeria Nitrososphaerales Nitrososphaeraceae CP012850_g	t3
Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	JF807641_g	Bacteria Acidobacteria Acidobacteriia Acidobacteriales Acidobacteriaceae JF807641_g	t4
Bacteria	Acidobacteria	Blastocatellia	Blastocatellales	Blastocatellaceae	HQ597814_g	Bacteria Acidobacteria Blastocatellia Blastocatellales Blastocatellaceae HQ597814_g	t5
Bacteria	Acidobacteria	CP015136_c	CP015136_o	CP015136_f	GU260705_g	Bacteria Acidobacteria CP015136_c CP015136_o CP015136_f GU260705_g	t6
Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Microthrixaceae	LCZK_g	Bacteria Actinobacteria Acidimicrobiia Acidimicrobiales Microthrixaceae LCZK_g	t7
Bacteria	Actinobacteria	Actinobacteria_c	Actinomycetales	Actinomycetaceae	Actinobaculum	Bacteria Actinobacteria Actinobacteria_c Actinomycetales Actinomycetaceae Actinobaculum	t8
Bacteria	Actinobacteria	Actinobacteria_c	Actinomycetales	Actinomycetaceae	Actinomyces	Bacteria Actinobacteria Actinobacteria_c Actinomycetales Actinomycetaceae Actinomyces	t9
Bacteria	Actinobacteria	Actinobacteria_c	Actinomycetales	Actinomycetaceae	Actinotignum	Bacteria Actinobacteria Actinobacteria_c Actinomycetales Actinomycetaceae Actinotignum	t10
Bacteria	Actinobacteria	Actinobacteria_c	Actinomycetales	Actinomycetaceae	Arcanobacterium	Bacteria Actinobacteria Actinobacteria_c Actinomycetales Actinomycetaceae Arcanobacterium	t11
Bacteria	Actinobacteria	Actinobacteria_c	Actinomycetales	Actinomycetaceae	Mobiluncus	Bacteria Actinobacteria Actinobacteria_c Actinomycetales Actinomycetaceae Mobiluncus	t12
Bacteria	Actinobacteria	Actinobacteria_c	Actinomycetales	Actinomycetaceae		Bacteria Actinobacteria Actinobacteria_c Actinomycetales Actinomycetaceae NA	t13
Bacteria	Actinobacteria	Actinobacteria_c	Actinomycetales	Actinomycetaceae	Trueperella	Bacteria Actinobacteria Actinobacteria_c Actinomycetales Actinomycetaceae Trueperella	t14
Bacteria	Actinobacteria	Actinobacteria_c	Bifidobacteriales	Bifidobacteriaceae	Alloscardovia	Bacteria Actinobacteria Actinobacteria_c Bifidobacteriales Bifidobacteriaceae Alloscardovia	t15
Bacteria	Actinobacteria	Actinobacteria_c	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bacteria Actinobacteria Actinobacteria_c Bifidobacteriales Bifidobacteriaceae Bifidobacterium	t16
Bacteria	Actinobacteria	Actinobacteria_c	Bifidobacteriales	Bifidobacteriaceae	Gardnerella	Bacteria Actinobacteria Actinobacteria_c Bifidobacteriales Bifidobacteriaceae Gardnerella	t17
Bacteria	Actinobacteria	Actinobacteria_c	Bifidobacteriales	Bifidobacteriaceae		Bacteria Actinobacteria Actinobacteria_c Bifidobacteriales Bifidobacteriaceae NA	t18
Bacteria	Actinobacteria	Actinobacteria_c	Bifidobacteriales	Bifidobacteriaceae	Parascardovia	Bacteria Actinobacteria Actinobacteria_c Bifidobacteriales Bifidobacteriaceae Parascardovia	t19
Bacteria	Actinobacteria	Actinobacteria_c	Bifidobacteriales	Bifidobacteriaceae	Scardovia	Bacteria Actinobacteria Actinobacteria_c Bifidobacteriales Bifidobacteriaceae Scardovia	t20
Bacteria	Actinobacteria	Actinobacteria_c	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Bacteria Actinobacteria Actinobacteria_c Corynebacteriales Corynebacteriaceae Corynebacterium	t21
Bacteria	Actinobacteria	Actinobacteria_c	Corynebacteriales	Corynebacteriaceae		Bacteria Actinobacteria Actinobacteria_c Corynebacteriales Corynebacteriaceae NA	t22
Bacteria	Actinobacteria	Actinobacteria_c	Corynebacteriales	Corynebacteriaceae	Turicella	Bacteria Actinobacteria Actinobacteria_c Corynebacteriales Corynebacteriaceae Turicella	t23
Bacteria	Actinobacteria	Actinobacteria_c	Corynebacteriales	CP009312_f	CP009312_g	Bacteria Actinobacteria Actinobacteria_c Corynebacteriales CP009312_f CP009312_g	t24
Bacteria	Actinobacteria	Actinobacteria_c	Corynebacteriales	Dietziaceae	Dietzia	Bacteria Actinobacteria Actinobacteria_c Corynebacteriales Dietziaceae Dietzia	t25
Bacteria	Actinobacteria	Actinobacteria_c	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Bacteria Actinobacteria Actinobacteria_c Corynebacteriales Mycobacteriaceae Mycobacterium	t26
Bacteria	Actinobacteria	Actinobacteria_c	Corynebacteriales			Bacteria Actinobacteria Actinobacteria_c Corynebacteriales NA NA	t27
Bacteria	Actinobacteria	Actinobacteria_c	Corynebacteriales	Nocardiaceae	Gordonia	Bacteria Actinobacteria Actinobacteria_c Corynebacteriales Nocardiaceae Gordonia	t28
Bacteria	Actinobacteria	Actinobacteria_c	Corynebacteriales	Nocardiaceae	Rhodococcus	Bacteria Actinobacteria Actinobacteria_c Corynebacteriales Nocardiaceae Rhodococcus	t29
Bacteria	Actinobacteria	Actinobacteria_c	Frankiales	Geodermatophilaceae	Blastococcus	Bacteria Actinobacteria Actinobacteria_c Frankiales Geodermatophilaceae Blastococcus	t30
Bacteria	Actinobacteria	Actinobacteria_c	Frankiales	HQ910322_f	HQ910322_g	Bacteria Actinobacteria Actinobacteria_c Frankiales HQ910322_f HQ910322_g	t31
Bacteria	Actinobacteria	Actinobacteria_c	Frankiales	Nakamurellaceae	Nakamurella	Bacteria Actinobacteria Actinobacteria_c Frankiales Nakamurellaceae Nakamurella	t32
Bacteria	Actinobacteria	Actinobacteria_c	Micrococcales	Beutenbergiaceae	Miniimonas	Bacteria Actinobacteria Actinobacteria_c Micrococcales Beutenbergiaceae Miniimonas	t33
Bacteria	Actinobacteria	Actinobacteria_c	Micrococcales	Brevibacteriaceae	Brevibacterium	Bacteria Actinobacteria Actinobacteria_c Micrococcales Brevibacteriaceae Brevibacterium	t34
Bacteria	Actinobacteria	Actinobacteria_c	Micrococcales	Brevibacteriaceae	Spelaeicoccus	Bacteria Actinobacteria Actinobacteria_c Micrococcales Brevibacteriaceae Spelaeicoccus	t35
Bacteria	Actinobacteria	Actinobacteria_c	Micrococcales	Cellulomonadaceae	Cellulomonas	Bacteria Actinobacteria Actinobacteria_c Micrococcales Cellulomonadaceae Cellulomonas	t36
Bacteria	Actinobacteria	Actinobacteria_c	Micrococcales	Dermabacteraceae	Brachybacterium	Bacteria Actinobacteria Actinobacteria_c Micrococcales Dermabacteraceae Brachybacterium	t37
Bacteria	Actinobacteria	Actinobacteria_c	Micrococcales	Dermabacteraceae	Dermabacter	Bacteria Actinobacteria Actinobacteria_c Micrococcales Dermabacteraceae Dermabacter	t38
Bacteria	Actinobacteria	Actinobacteria_c	Micrococcales	Dermabacteraceae	Helcobacillus	Bacteria Actinobacteria Actinobacteria_c Micrococcales Dermabacteraceae Helcobacillus	t39
