	Abiotrophia	Acidaminococcus	Acidovorax	Acinetobacter	Actinobaculum	Actinomyces	Actinomycetales	Aerococcus	Agromyces	Alistipes	Alloprevotella	Alloscardovia	Anaerococcus	Anaeroglobus	Arcanobacterium	Arthrobacter	Atopobium	Bacteroides	Bergeyella	Bifidobacterium	Blautia	Bosea	Bradyrhizobiaceae	Brevibacterium	Bulleidia	Campylobacter	Casaltella	Caulobacter	Caulobacteraceae	Clostridiaceae	Clostridiales	Clostridium	Collinsella	Comamonadaceae	Coprococcus	Coriobacteriaceae	Corynebacterium	Delftia	Dermabacter	Dialister	Dorea	Eggerthella	Enterobacteriaceae	Enterococcus	Eubacterium	Ezakiella	Facklamia	Faecalibacterium	Fastidiosipila	Fenollaria	Finegoldia	Fusobacterium	Gardnerella	Gemella	Granulicatella	Haemophilus	Helcococcus	Hyphomicrobium	Jonquetella	Lachnospiraceae	Lactobacillus	L. crispatus	L. gasseri	L. iners	L. jensenii	Megasphaera	Metaprevotella	Microbacterium	Mobiluncus	Mogibacterium	Moryella	Murdochiella	Mycoplasma	Negativicoccus	Neisseria	No	Oligella	Parabacteroides	Parasutterella	Parvimonas	Peptococcus	Peptoniphilaceae	Peptoniphilus	Peptostreptococcus	Porphyromonadaceae	Porphyromonas	Prevotella	Prevotellaceae	Propionibacterium	Propionimicrobium	Pseudomonas	Pyramidobacter	Roseburia	Rothia	Ruminococcus	Sneathia	Solobacterium	Sphingobacterium	Sphingomonas	Staphylococcus	Stenotrophomonas	Streptococcus	Sutterella	TM7	Treponema	Trueperella	Ureaplasma	Varibaculum	Veillonella
Abiotrophia	0.0	0.0	0.0	0.11853052058743155	0.0	-0.10087994218226601	-0.10866601482406958	0.0	0.12606803263560828	0.0	0.0	0.11641208879499491	-0.21313378143774098	0.0	0.0	0.0	0.0	-0.16418476562915207	0.1582443353517036	0.0	0.0	0.0	0.11143154116500995	0.0	0.0	-0.19012554788713287	0.0	0.10638773921571358	0.12391966876667448	0.0	-0.22098216745555654	0.0	0.0	0.15222417182372266	0.0	0.0	0.0	0.1897793562056749	0.0	-0.25983430206251407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.1025065957464517	-0.19535653118430985	0.0	0.0	0.0	0.13611232409064977	0.11609415604631479	0.0	0.1174384867296865	0.0	0.0	0.0	0.10644775144865365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11022515809115865	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.2690213988965475	0.0	-0.12087722870494069	-0.16156434064877176	-0.23684951481042726	0.0	0.0	0.0	0.13467461267712194	0.0	0.0	0.15060765223688416	0.0	0.0	0.0	0.16661057572071802	0.10332287032641649	0.0	0.0	0.0	0.0	0.0	0.0	0.10826072730000005	0.0	-0.10710037924940922	0.0
Acidaminococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.14531725168356652	0.0	0.157190370965744	0.0	0.0	0.0	0.0	0.0	0.0	-0.12759604922635076	0.0	0.0	0.0	0.11581348425561311	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.1374718662915554	0.12367430856189854	0.11120542165211618	0.0	0.12326319996615115	0.0	0.0	0.0	0.0	-0.15898594888647416	0.11133705279832445	0.0	0.0	0.0	0.121171971908406	0.0	0.0	0.1299855406107981	0.0	0.0	0.0	0.0	-0.13048427218895592	0.0	0.0	0.0	0.0	0.0	0.0	-0.11938404222674	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11534200006620768	0.0	0.0	-0.10235984959504701	0.0	0.0	0.0	0.0	0.13752043935003933	0.0	-0.10295521717618067	0.0	0.0	-0.10110834834211024	0.0	0.0	0.0	-0.1340057880588304	0.0	0.0	0.0	0.0	0.12410717599155158	0.15471477279006965	0.0	0.12569774260717598	-0.12377001286479897	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.112082008329434	0.0	0.0	0.0	0.0
Acidovorax	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.12090127123626092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.11718825093908662	0.0	0.0	0.0	0.0	0.0	0.15373230167637192	0.0	0.0	0.0	0.0	0.3211609946849887	0.30529624101725994	0.0	-0.17431169152446668	0.0	0.0	0.15418199107177302	0.0	0.0	0.0	0.0	0.0	-0.18411153998865445	0.0	0.0	0.1147149923884892	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11136195750649386	0.0	0.0	0.0	-0.11293833734175177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11582079640690746	0.0	0.0	0.0	0.0	0.0	0.0	-0.14274922096267004	0.0	0.0	-0.14534799806733276	-0.20099870448262017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39223450882123156	0.0	0.4025377384789741	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acinetobacter	0.11853052058743155	0.0	0.0	0.0	0.0	-0.1367382478832846	0.0	0.0	0.0	0.0	0.10872834015858024	0.0	-0.18735308318285898	0.0	0.0	0.0	0.0	-0.14896783750295978	0.0	0.0	0.0	0.11726238386684881	0.14276498309857227	0.0	0.0	-0.18675560405893346	0.0	0.13063309343047103	0.11958550259543704	0.0	-0.1967812643516284	-0.10018172901703168	0.0	0.13816376263462438	0.0	0.0	0.0	0.14032154705119962	0.0	-0.21254003006089045	0.0	0.0	0.11222312599889235	0.10465651623213235	0.0	0.0	0.0	0.0	0.0	0.0	-0.15170919530162377	0.0	0.0	0.0	0.0	0.0	0.0	0.12021447810474614	0.0	0.0	0.0	0.11812387317946212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.22938302169053165	0.0	-0.11556138680834835	-0.22648655633771242	-0.23105931214234407	0.0	0.11274568483342232	0.0	0.18438342726991203	0.0	0.0	0.0	0.0	0.0	0.0	0.11682632574933825	0.12542975639281578	0.0	0.10245997593959699	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinobaculum	0.0	0.0	0.0	0.0	0.0	0.12231246257572627	0.1541827026505681	0.0	0.0	0.0	0.0	0.0	0.1343501127524861	0.0	0.0	0.1038083868014876	0.0	0.0	0.0	0.0	-0.10714481892761002	0.0	0.0	0.0	-0.15081339497647073	0.16449872441653873	0.0	0.0	0.0	0.0	0.0	-0.1267766316995343	0.0	0.0	0.0	-0.14465689261351933	0.1962136763526824	0.0	0.0	0.0	0.0	0.0	0.0	0.1302560167075248	0.0	0.0	0.24071979214423245	-0.10854569529327152	0.19804331376431622	0.0	0.23490612658355647	0.0	-0.10083937161429697	-0.19495901706160895	0.0	0.0	0.12046527856440287	0.0	0.0	0.0	0.0	0.0	0.19278890221729064	0.0	0.0	-0.11066162638745637	0.0	0.0	0.0	0.0	0.0	0.0	-0.15011322446965575	0.0	0.0	0.0	0.0	0.0	0.0	-0.1603753021134104	0.0	0.0	0.15580971509862437	0.0	-0.12625632027678166	0.0	0.0	0.0	0.0	0.2566167741537933	0.0	0.0	0.0	0.0	0.0	-0.15671362650624873	0.0	0.0	0.0	0.10823133720208641	0.0	0.13914129191059355	0.0	0.0	0.0	0.0	0.0	0.15305319620969515	0.0
Actinomyces	-0.10087994218226601	0.0	0.0	-0.1367382478832846	0.12231246257572627	0.0	0.12273421751226438	0.0	0.0	0.0	0.0	0.0	0.22844787805737998	0.0	0.0	0.0	0.0	0.10493530669860748	0.0	0.0	-0.11801262740023052	0.0	0.0	0.0	0.0	0.26421879064986603	0.0	-0.12408843148248613	0.0	0.0	0.0	0.0	0.0	0.0	-0.10755089476315886	0.0	0.15826706892335532	0.0	0.0	0.18124710562901375	-0.12763994983563554	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20818555336664346	0.13478839732302716	0.0	0.0	0.0	0.0	0.0	-0.14405870490716624	0.0	0.0	0.0	0.0	0.0	-0.10728375773745881	0.0	0.0	0.0	0.0	0.0	0.0	-0.10638965217993003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.13050515622666062	0.0	0.0	0.0	0.2554038478790789	0.0	0.0	0.22508485038327897	0.20359441932741307	-0.1372766571949845	0.0	0.17620872799734472	-0.10985000424975788	0.0	-0.12014050146829369	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2305631623282936	0.0	0.0	-0.10604382573594064	0.0	0.0	0.13163185448324594	0.16349769055798566
Actinomycetales	-0.10866601482406958	0.0	0.0	0.0	0.1541827026505681	0.12273421751226438	0.0	-0.15278942792617897	0.0	0.0	-0.11931707486832999	0.0	0.288507831453772	0.0	0.0	0.0	0.0	0.18583264212845274	-0.14043524884600175	0.0	0.0	0.0	0.0	0.0	-0.1967830577484112	0.29867230447128096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.16809855657995695	0.2825270738122635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13264366458477272	0.0	0.0	0.17431319149003072	0.37665609017513146	0.0	-0.1398920401984478	-0.1617182365585574	-0.1159723812814121	0.0	0.0	-0.1037575761840137	0.0	0.0	0.0	0.0	0.1857393835948383	-0.12313129844322512	0.0	-0.12108112790098714	0.0	0.0	0.10840538388941293	0.0	0.0	0.12246347554783382	-0.18659573203966445	0.15081886970417455	0.0	0.0	0.0	0.0	0.0	-0.17974675486403446	0.0	0.0	0.304339236431963	0.0	0.0	0.16900603602325814	0.0	-0.1313656465467489	0.0	0.1760989753356091	0.0	0.0	0.0	-0.14503578808885736	0.0	-0.147782219732622	0.0	0.0	0.0	0.0	0.0	0.0	0.10733164942666518	-0.13112707193018008	-0.11204994873418488	0.0	0.0	0.2688920922097414	0.0
Aerococcus	0.0	-0.14531725168356652	-0.12090127123626092	0.0	0.0	0.0	-0.15278942792617897	0.0	0.0	-0.1477033501810421	0.0	-0.1536634387080114	0.0	0.0	0.0	0.0	0.6428652737035239	-0.19510099183608076	0.0	0.0	-0.13987158065793726	-0.11046056890750847	-0.12358969050993077	-0.10687108269820954	0.252559657593295	0.0	-0.1296891436329639	-0.13033144396412927	-0.12639365472181452	-0.1686342260691277	0.3602591452928051	-0.13971487290208362	-0.1443629335623653	0.0	-0.115946224223646	0.6228143397316899	-0.261996191920014	0.0	-0.12745641624508008	0.5207247643913449	-0.12013675488380851	0.0	-0.16786484913205058	-0.1334493254409308	-0.15164519693428619	-0.12667268883356958	-0.13562101281775202	-0.15743083802383445	0.0	-0.10002354658581471	-0.16916292080237255	0.0	0.6710916907383762	0.3075722765137016	0.0	0.0	0.0	0.0	0.0	0.3156047340335828	-0.22903425499602864	-0.29847116506914845	-0.16666702713489506	0.2610278563477575	-0.18271980601225224	0.6386437411986132	-0.14056769327492186	-0.12172759310410051	0.0	-0.1066328908878062	0.0	0.0	0.3496095826500369	-0.13664398009560513	0.0	0.0	0.0	-0.11292658846465513	-0.12088389041123614	0.5351610599540669	-0.11902091690647625	-0.12738260092115225	0.0	0.0	0.12489946036670899	0.0	0.4194669209131031	0.1828171953080907	-0.21372907604825175	-0.1594792802626727	0.0	-0.1000850717008945	-0.1306712526371727	-0.13991928812468504	-0.15549877453824887	0.5161394034385247	0.0	0.0	0.0	-0.23851689408943944	0.0	-0.1244333493907297	0.0	0.2187230911562763	0.0	0.0	0.19656435885393064	-0.1580801243633702	-0.12216717151972609
Agromyces	0.12606803263560828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.16098171911121753	0.0	0.0	0.1120898286986389	0.0	-0.11360153200732076	0.0	0.0	0.0	0.10232839660736623	0.0	0.1262654071017093	0.0	-0.17119006793831518	0.0	0.11724714541214105	0.0	0.0	-0.17841010114861572	0.0	0.0	0.0	0.0	0.0	0.0	0.1146792129550693	0.0	-0.211660755606088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.13583036137947715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.10163672710254343	0.10038655484792172	0.0	0.0	0.0	0.0	0.0	0.0	0.17301214000154724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15039543310878856	0.0	0.0	0.0	0.0	0.0	-0.19254299428375943	0.0	-0.13217449129623562	-0.18440152916404182	-0.24163347565844373	0.0	0.0	0.0	0.11081115589785351	0.0	0.0	0.0	0.0	0.0	0.0	0.1056353685660775	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16274957798519607	0.0	0.0	0.0
Alistipes	0.0	0.157190370965744	0.0	0.0	0.0	0.0	0.0	-0.1477033501810421	0.0	0.0	0.0	0.0	-0.1034149231141655	0.0	0.0	0.0	-0.14062644033926158	0.1403140907052044	0.0	0.0	0.2582205837084931	0.0	0.0	0.0	-0.10623381073482545	0.0	0.0	0.0	0.0	0.0	-0.10016050142943339	0.17002216221869798	0.22830233783527887	0.0	0.24575121750532725	0.0	0.0	0.0	0.0	-0.17979351930276544	0.19389057667948895	0.0	0.0	0.0	0.1810560671549081	0.0	0.0	0.2798747086564509	0.0	0.0	0.0	0.0	-0.10381184464343851	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10360602523830696	0.0	0.0	0.0	0.0	0.0	0.0	-0.12208787032953708	0.0	0.0	0.0	-0.11261804450872848	0.0	0.0	0.0	0.0	0.195573630040006	0.15715208498846298	-0.10365797388778908	0.0	0.0	-0.137379105494554	0.0	0.0	0.0	-0.18652376838232881	0.0	0.0	0.0	0.0	0.0	0.2379911757696177	0.0	0.24008006523533876	-0.12894743608016668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
