	L. iners	L. crispatus	Gardnerella	L. jensenii	L. gasseri	Atopobium	BVAB1	Sneathia	Megasphaera	Streptococcus	Prevotella	Fastidiosipila	Anaerococcus	Peptoniphilus	Corynebacterium	Finegoldia	Bifidobacterium	Aerococcus	BVAB	Parvimonas	Staphylococcus	Dialister	Senegalimassilia	Enterococcus	Lactobacillus	Mobiluncus	Gemella	Peptostreptococcus	Escherichia.Shigella	Porphyromonas	Veillonella	Limosilactobacillus	Ezakiella	Ureaplasma	Eukaryota	Moryella	Mycoplasma	Actinomyces	Haemophilus	Varibaculum	Rikenellaceae	Campylobacter	Fusobacterium	Howardella	Peptococcus	Bacteroidales	Bacteroides	Facklamia	Olsenella	Arcanobacterium	Lawsonella	NA	Halomonas	Murdochiella	Bulleidia	Micrococcus	Propionibacterium	Roseburia	Micrococcales	Acinetobacter	Ruminococcaceae	Stenotrophomonas	Lachnospiraceae	Family	Granulicatella	Slackia	Sutterella	Bacillus	Delftia	Sphingomonas
L. iners	0.0	-0.0	0.0	0.16375557299469137	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.14984525478601182	-0.1474871968107585	-0.17335819921323362	-0.21401559532829714	0.0	-0.0	-0.0	0.1034837808768991	0.0	-0.0	0.12067591675130944	-0.1570930722094515	-0.0	0.0	0.0	-0.12894707006618067	-0.0	-0.12490572217877424	0.0	-0.19979977399644594	0.0	0.1234166194994446	-0.0	0.2717002910736627	0.12966499648573115	-0.14606100963445634	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.11284793510809606	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.10228349636073786	0.0	0.0	-0.0	0.1032842099942177	0.0	0.0	-0.0	0.16718790799094152	0.0	0.1435368482493854	0.0	-0.0	0.0	0.0	0.0	0.10774380850348242	0.1258676552025417	0.12041606192140188
L. crispatus	-0.0	0.0	-0.3727464172061082	0.3516158284818625	0.22166578448804325	-0.38886918056662745	-0.1522714279694783	-0.3112870679909976	-0.34093272831877297	0.0	-0.3509494364437457	-0.3204919995285873	-0.16371560440381794	-0.28441344464041507	0.16171671912929864	0.10253246797625637	0.0	-0.285515899668363	-0.12444245070551015	-0.32088180410639244	0.19079780801607735	-0.362878214835592	-0.27923927731240106	0.16120271797007002	0.6099538495907483	-0.1868392668410079	-0.2897320145414414	-0.10631443152717004	0.16984557207893292	-0.12210896447010958	0.0	0.47093729217394675	0.0	0.21049889301823765	0.2663013979264285	-0.0	-0.12703397333447547	0.0	0.15369854976296535	0.15523947532151464	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.19621123945417884	0.17317004178008172	0.12703103656035367	-0.11654442280624203	0.12399326362446521	0.2623102737683539	0.1754632721719337	0.1574949829566361	-0.0	0.18538260719260186	0.2205235815694911	0.1348737594695703	-0.0	0.16882584597107597	0.14530979409210892	0.19347745767273095	0.1281028747242089	0.11653719488548618	0.11253266356821234	0.10748575995284768	0.0	0.18212361117488496	0.16131833855918756	0.17639695900512148
Gardnerella	0.0	-0.3727464172061082	0.0	-0.32694843803093576	-0.18912184872055607	0.676136477069408	0.3400667903801661	0.5512034623229725	0.5766793663359171	-0.1289039983110844	0.5147937529410136	0.47214952388282794	0.10045469861185125	0.23840121117603422	-0.2639978577674935	-0.24801814826249405	-0.16555257439788518	0.5809046893548317	0.1906032174056269	0.5154380898920128	-0.25740362327733846	0.5089457911913748	0.5849876694883243	-0.256672093512688	-0.3950899405167717	0.18333184771640404	0.41056646321124846	0.0	-0.2517926678242971	0.0	0.0	-0.34971980515366813	-0.21456858919327676	-0.10441970802684714	-0.2059631756062035	-0.0	0.19013892921843	-0.15944664965898087	-0.21920178408284327	-0.280946210891328	0.0	-0.23363300564489486	-0.17439087721432142	-0.0	-0.14709064238339153	-0.0	-0.2783610225797548	-0.2843039174007421	-0.2663014189948528	0.11302916808000593	-0.2987758306220629	-0.2305931848401601	-0.2863944830030932	-0.2821713413362791	0.0	-0.2288935724309023	-0.28348600551318914	-0.2190692849302581	0.15537443645330185	-0.15622904707067592	-0.23607488366152252	-0.1912346295144531	-0.21797701601761915	-0.2556768377075691	-0.19175101152564017	-0.16881787574024515	-0.1783153331456892	-0.2291838919810706	-0.15608406977041422	-0.21132801986411065
L. jensenii	0.16375557299469137	0.3516158284818625	-0.32694843803093576	0.0	0.24496392841850917	-0.38804522447051465	-0.2522815588671185	-0.3530460287025735	-0.3835629001576984	0.0	-0.3717749572203439	-0.35834524274366353	-0.1490588886299236	-0.29054013205527784	0.1744633450242516	0.13317687565365044	0.10101834150654371	-0.2531943780143271	-0.1787259389312275	-0.3421895798277889	0.22200056372422425	-0.3713071272084332	-0.30280498257751387	0.1803826784037059	0.4585161457060707	-0.2256497429456297	-0.25783464670760875	-0.0	0.19688199882535426	-0.14648498802307902	0.0	0.41489843907194934	0.0	0.21387184635577172	0.22895031816533967	-0.0	-0.12720062329495033	0.1256142876800997	0.19320714098951636	0.1355764135975402	-0.10937663425984567	0.0	0.0	0.0	0.0	-0.0	0.2045385157035361	0.18279425152378775	0.14921785997579423	-0.13044719319321207	0.16399023345267455	0.23960925883972892	0.21070236888611052	0.16235673858858723	-0.0	0.19132113897051367	0.2220530253452022	0.1343911172138068	-0.13146500897770902	0.15012063737099446	0.13931369662720627	0.18471979639008226	0.12778307961538488	0.14696444177192586	0.16621958528175212	0.11389348090703932	0.10299602220336834	0.1977347266645748	0.17535590376160254	0.17492564093571167
L. gasseri	-0.0	0.22166578448804325	-0.18912184872055607	0.24496392841850917	0.0	-0.30232600046142316	-0.186724668090796	-0.3003903577806696	-0.3222686200070613	0.10311780631616578	-0.292859892280682	-0.3048567029473773	-0.11897807414622949	-0.252516893867606	0.15491120622886573	0.1268029460957582	0.21790113275086428	-0.2282373231019749	-0.14653806853510762	-0.3073796138424064	0.18688643082609363	-0.26211010450816297	-0.2601034094703928	0.17029433854704779	0.3131521269838971	-0.18889600267453552	-0.2580166363384079	-0.11422851561718471	0.18732351982049633	-0.14315546975371574	0.0	0.3564971448383542	0.0	0.18260719938383935	0.19095170840528441	-0.0	-0.11721651795029037	0.14254350798624438	0.16324364361673085	0.15135696266704593	-0.10407426428553362	0.0	0.0	0.0	0.0	-0.0	0.17900854654120724	0.1776652784942998	0.13101530124414612	-0.1417421768281848	0.12319763110780574	0.19858464078598145	0.17329519522245854	0.1293126354814877	-0.11272905850971895	0.15575472614550645	0.17647304343102066	0.0	-0.1300166061604246	0.15988274210984443	0.10848512919026687	0.1671020614241019	0.10288371099197119	0.10025636321056544	0.13206777126202146	0.0	0.0	0.16960260174283767	0.1331716000476743	0.17495166298327988
Atopobium	-0.0	-0.38886918056662745	0.676136477069408	-0.38804522447051465	-0.30232600046142316	0.0	0.3468734528803279	0.6450020354445003	0.6820915699395576	-0.2101830352112392	0.6580959460325739	0.6321275582559522	0.19425656344899417	0.3825186671948847	-0.3073539965449339	-0.21917824821923862	-0.12833289640565448	0.5290652740510127	0.26949096790924265	0.6533141117369039	-0.33372411177896844	0.6513811132278061	0.7199821013739502	-0.2893252941029165	-0.44906246647662995	0.28448190275160673	0.4519937434358796	0.10048926494989235	-0.27555818986938585	0.13793772687764688	-0.0	-0.38989621631243926	-0.16280393129434756	-0.2565344440400434	-0.28195295620916927	0.0	0.20126393982713414	-0.1603375571563136	-0.2557281226300283	-0.26017398590348095	0.10992424963222189	-0.19449442601591685	-0.16916727912474172	0.0	-0.0	-0.0	-0.3004903538409477	-0.2832878971949837	-0.2531547167332655	0.1881302306528458	-0.2721925324030708	-0.3057719248757942	-0.29737423825082787	-0.2537122349936667	0.14367461267565618	-0.25212672593565755	-0.31177872388709926	-0.20111413050440807	0.21688979746404125	-0.23770474669448557	-0.2262848812850223	-0.24157434693297525	-0.20785895113121158	-0.2287671454688085	-0.2307473530361392	-0.15059402275669648	-0.16546345461001694	-0.2572344827336925	-0.21658030268012218	-0.23454022712857495
BVAB1	0.0	-0.1522714279694783	0.3400667903801661	-0.2522815588671185	-0.186724668090796	0.3468734528803279	0.0	0.40745030115280817	0.4899952834818983	-0.18353966136999927	0.3238206990359227	0.4184397911082952	-0.14806777326206122	0.13611613969797792	-0.2712795729770943	-0.3393754493445006	-0.18363617564096507	0.23668149640941571	0.4120904497551907	0.43234258895902034	-0.24628230488740294	0.30244339273811827	0.45996159505435	-0.16149675533331334	-0.2398482379916187	0.33758003413018545	0.2338007395856779	-0.10555541716520332	-0.20027627964421274	0.0	-0.12129788163309488	-0.22893499418238086	-0.20516128060942368	-0.22311028354324158	-0.2328417769106659	0.0	0.20732235740787844	-0.2464456598584039	-0.1800140845210867	-0.23324284647126223	0.256582821276514	-0.1855465455551995	-0.15369880096296035	-0.14213142538570542	-0.0	-0.0	-0.19073556636325473	-0.21719345825430114	-0.19089593194447865	0.19976401368910862	-0.22904183058933708	-0.23317226334502061	-0.19195316752705385	-0.19127423457517745	0.1751791819699498	-0.11698093191493295	-0.18371320644721656	-0.0	0.3263211415611384	-0.0	-0.12245970557749078	-0.0	-0.12810181596154968	-0.18457084920973338	-0.1387330223076703	-0.14378175195887785	-0.16736016587645577	-0.13090251403561948	-0.0	-0.1050474534198149
Sneathia	-0.0	-0.3112870679909976	0.5512034623229725	-0.3530460287025735	-0.3003903577806696	0.6450020354445003	0.40745030115280817	0.0	0.6631714429019544	-0.153696401039503	0.6423203292649391	0.6985211545639045	0.21229027982120086	0.4099121711019381	-0.2724451961983428	-0.2395497392433669	-0.1656015215031446	0.43547762577804927	0.30248034005117547	0.7351108562797546	-0.28796558412816053	0.6007246459256226	0.7236326987933126	-0.25534030426334775	-0.4176050652908977	0.34127090198326027	0.4948093091342505	0.141789209847459	-0.2529863359152307	0.23015474978301542	0.0	-0.3802958957994481	-0.14788452868696195	-0.25204861840915826	-0.246968803593896	0.0	0.3071809012411735	-0.18827228937187585	-0.22725704761780396	-0.2510649126336137	0.20340560090706822	-0.16903853455949386	-0.11251728704184732	-0.0	-0.0	0.0	-0.27826689739685573	-0.2668966429142745	-0.2389305937487015	0.2809734164305817	-0.22939327166132278	-0.2586171788073272	-0.28402359837246294	-0.24537214627264797	0.22547668875834415	-0.21372643527471216	-0.29002829190351387	-0.16479254475511718	0.2961015715640949	-0.20189382072477338	-0.19312247735809246	-0.22749373141658752	-0.1709115481988272	-0.20715359369461098	-0.19382688146723687	-0.1463961275604247	-0.12578508622580517	-0.24152145838639905	-0.2024462328273308	-0.22474288762635294
Megasphaera	-0.0	-0.34093272831877297	0.5766793663359171	-0.3835629001576984	-0.3222686200070613	0.6820915699395576	0.4899952834818983	0.6631714429019544	0.0	-0.2716883732197003	0.6432683881374157	0.6721499862508782	0.0	0.32900682098783807	-0.3194393298874363	-0.28001650728737376	-0.18562318789347654	0.4517414663068965	0.36847917276167264	0.6741354866286178	-0.32836711345296343	0.5958888454521005	0.7434995025798867	-0.2618595892442803	-0.41421628414730594	0.3326461119175077	0.3818568868534032	0.0	-0.2630666424222088	0.12153749818958694	-0.13636732636843613	-0.3744931463078504	-0.17386614934277506	-0.2981400123265997	-0.3056089939924441	0.0	0.2017872771542027	-0.2824473588760244	-0.26282884802065903	-0.25622408390834417	0.20350562478792572	-0.1740185518945645	-0.1551552984321591	-0.0	-0.0	-0.0	-0.25891802978607814	-0.2711978789106242	-0.23064714687680593	0.2464296472285512	-0.2627072020044361	-0.29503709212716733	-0.2403729102108298	-0.26156869928183646	0.19239982908964387	-0.22154613741229645	-0.27765279388202546	-0.16977390863506336	0.2872704811635949	-0.20566628215496524	-0.19024040085233584	-0.22018138438452053	-0.17500532968235294	-0.2268040595249696	-0.2136800786430718	-0.16678224678140768	-0.1770751944624714	-0.2284971110183264	-0.21348247739475706	-0.22770394755140924
Streptococcus	0.0	0.0	-0.1289039983110844	0.0	0.10311780631616578	-0.2101830352112392	-0.18353966136999927	-0.153696401039503	-0.2716883732197003	0.0	-0.13373218569653345	-0.24276631638310892	0.15154986752798064	-0.0	0.27659500589742125	0.29446444265937466	0.1742306831172855	-0.10300158562295464	-0.17352437722156927	-0.22623734408873997	0.3280572057164607	-0.1277680939095481	-0.18063938172315752	0.16470454002730495	0.0	-0.21218206255535907	-0.0	0.131850645358019	0.17689170618857478	-0.10126969303533348	0.3375731593105792	0.0	0.0	0.14098858219594207	0.11873871475100672	-0.0	-0.11931485829680721	0.20119437258623787	0.2092187357943921	0.0	-0.16100659869738282	0.0	0.10117973182876702	0.11041495241550733	0.0	-0.0	0.0	0.0	0.0	-0.1960381738450686	0.0	0.0	0.0	0.0	-0.1711538194296069	0.0	0.0	0.0	-0.17354484820056829	0.0	0.0	0.0	0.0	0.0	0.14652497674808918	0.0	0.0	0.0	0.0	0.0
